Bertolini,
Albrecht,
Aquila,
Legere,
Ricci,
Tillerson,
Roberts,
Murdoch,
Cote,
Farr,
Scharf,
Olsson,
McNerney,
Meyer,
Fink,
Merlo,
Lawler,
Och,
Kibsgaard,
Chenault,
Nelms,
Chambers,
Lesar,
Stephenson,
Liveris,
Galant,
Lance,
Wynn,
Stumpf,
Immelt,
Chapman,
Murphy,
Niblock,
Kramer,
Chenevert,
Kent,
Wren,
Sprecher,
Plant,
Read,
McGee,
Parker,
Whitman,
Fishman,
Corbat,
Barrington,
Swanson,
Brock,
Sullivan,
Casper,
McGregor,
Dolan,
Allan,Mulally
Bill ,Ackman
Dan,Akerson
Peter,Arduini
Tim,Armstrong
Steve,Ballmer
Don,Baur
George,Bell
Mark,Benioff
Bob,Benmosche
Jeff,Bezos
Neil,Black
Lloyd,Blankfein
Carson,Block
Michael,Boardman
Warren,Buffet
Philippe,Chevalier
Tim,Clark
Steve,Cohen
Sean,Combs
Tim,Cook
Michael,Corbat
Dick,Costolo
Dennis,Crowley
Louis,D'Ambrosio
Michael,Dell
Dave,Dewalt
Jamie,Dimon
Jack,Dorsey
Brady,Dougan
Larry,Downing
Mohamed,El-Erian
Larry,Ellison
Steve,Ells
Guy,Faure
Larry,Fink
Carly,Fiorina
Juergen,Fitschen
Pete,Flint
Lewis,Frankfort
John,Fredriksen
Dick,Fuld
Richard ,Fuld
Jason,Goldberg
John,Goodman
James,Gorman
Hank,Greenberg
Robert,Greifeld
Bill ,Gross
Andy,Grove
Jeffrey,Gundlach
John ,Gutfreund
Richard ,Handler
Reed,Hastings
Thorsten,Heins
Stephen,Hester
Eric ,Hunsader
Anshu,Jain
Steve,Jobs
Greg,Johnson
Ron,Johnson
Hubert,Joly
Scott,Kapnick
Omar,Khan
Makoto,Kikuchi
David,Komansky
Mitchell,Krebs
Wayne,LaPierre
Dan,Loeb
Mike,Lynch
John,Mack
Legg,Mason
Marissa,Mayer
Ross,McEwan
Jim,McNerney
Gene,McQuade
Monty,Moran
Jerry,Moyes
Glenn,Murphy
Elon,Musk
Ben,Nelson
Paul,Otellini
Larry,Page
Tony ,Posawatz
Joe,Ratterman
Ginny ,Rometty
Matt,Rose
Wilbur,Ross
Eric,Schatzker
Peter,Schiff
Howard,Schultz
Steve,Schwarzman
Bill ,Simon
Paul,Singer
Barry,Sommers
Masayoshi,Son
Kirk ,Sorensen
Brian,Sozzi
Don,Thompson
Evan,Williams
Jaime,Dimon
Lloyd ,Blankfein
Jeff ,Bezos
Satya,Nadella
Jeremy,Stoppelmann
Dov,Charney
Gregg ,Steinhafel
Ginni ,Rometty
Karen,Barr
Tim ,Cook
Michael,Weil
Greg,Foran
Lei,Jun
Don,Thompson
Tom,Werner
Elon,Musk
Alan,Joyce
Paula,Schneider
David,Zier
Carlos,Rodriguez
Marissa,Mayer
Meg,Whitman
Scott,Thomson
Borje,Ekholm
Howard,Schultz
Maria,das Gracas
Brent,Saunders
Martin,Craighead
Nick ,Woodman
Jim,Hughes
Riccardo,Zacconi
Bill,Stiritz
Richard ,Handler
Michael,Johnson
Bryan,Stockton
Dick,Costolo
Mary,Barra
Reed,Hastings
Sergio,Marchionne
Brian,Krzanich
Richard,Hayne
John,Stumpf
Bill ,Gates
Michael,Brown
Mike,Pearson
J.K.,Shin
Dustin,Moskovitz
Doug,Hodge
John,Bryant
Brian,Moynihan
Antonio,Horta
Mark,Zuckerberg
Mike,Sneesby
Mark,Frissora
Dan,Doctoroff
John,Borghetti
Ray,Benton
Bob,Benmosche
Alan,Joyce
Warren,Buffett
Emmett,Shear
Meg,Whitman
Edward,Stack
Thomas,Johnson
Muhtar ,Kent
Patrick,Byrne
Adam,Nash
Rich ,Kinder
Mark,Murray
Keith,McMullin
John,Legere
Jon,Stein
Jeff,Weiner
